zcta,aland_sqm
04024,41039402
04027,142463002
04029,85145642
04030,43131277
04032,89980972
04037,213668907
04038,131043352
04039,105308855
04040,159579192
04041,96909873
04042,82982197
04043,91518010
04046,115041007
04047,150838111
04048,73022424
04049,106161104
04050,3718892
04051,113056635
04055,80592593
04056,14617085
04057,142741
04061,50845977
04062,121725516
04063,1735838
04064,17519264
04066,4671513
04068,81978639
04069,59192590
04071,96119717
04072,99933834
04073,96866941
04074,123560760
04076,100367200
04079,55063615
04083,25875405
04084,121557469
04085,31237424
04086,83349364
04087,49327868
04088,124787587
04090,149325975
04091,50145960
04092,44538759
04093,104971402
04095,75128247
04096,34717749
04097,54984383
04101,5190552
04102,15481327
04103,26604631
04105,75929675
04106,31844343
04107,37947165
04108,3084048
04109,3279880
04110,5825412
04210,153554693
04216,354464744
04217,473395034
04219,158967176
04220,203056381
04221,83090460
04222,99144955
04224,192309858
04226,27924368
04227,1485180
04228,177187
04231,88258357
04234,849231
04236,83595024
04237,18227669
04238,58012659
04239,125310913
04240,88437058
04250,30914907
04252,28235022
04253,97435658
04254,50789483
04255,97993365
04256,29157006
04257,60451740
04258,76731802
04259,76050651
04260,122049349
04261,541914249
04263,103737920
04265,18292950
04267,5395109
04268,118190254
04270,203683713
04271,467501
04274,108702338
04275,245333701
04276,177548881
04280,107896690
04281,105135886
04282,153480780
04284,43808100
04285,167368000
04286,145209
04287,115084743
04289,62835356
04290,120891994
04292,114760283
04294,149295659
04330,303292099
04342,78871346
04343,1252638
04344,29080523
04345,186737213
04346,5529868
04347,15189858
04348,194881763
04349,76240906
04350,96129277
04351,55051235
04352,97731010
04353,121252286
04354,105047927
04355,75792632
04357,78773066
04358,128952461
04359,1867384
04360,62665039
04363,89732632
04364,78966446
04401,259555886
04406,233576991
04408,306619056
04410,106666156
04411,110258124
04412,39466907
04413,133069690
04414,637248219
04415,4105762
04416,149665004
04417,161731708
04418,381709089
04419,94618217
04421,20140012
04422,105031183
04424,272408311
04426,400075440
04427,104107595
04428,154153070
04429,182714004
04430,23375070
04431,809372
04434,64253335
04435,99875578
04438,63737472
04441,1505622956
04442,194264336
04443,355821865
04444,178828136
04448,286014926
04449,96616713
04450,43583366
04451,194057398
04453,175135376
04454,128075482
04455,217989441
04456,77855805
04457,426925183
04459,208678580
04460,277008698
04461,114275473
04462,3031071048
04463,379738835
04464,518114739
04468,308900440
04469,623930
04471,248535296
04472,120956679
04473,46449772
04474,64726301
04475,62703163
04476,103289547
04478,1027655480
04479,99562539
04481,80212588
04485,115413997
04487,569278293
04488,90680803
04489,523547
04490,683737541
04491,33522190
04492,120439401
04493,172956358
04495,113177457
04496,92022659
04497,622419062
04530,74568032
04535,54134943
04537,43411639
04538,12631739
04539,42311004
04541,4767674
04543,32204513
04544,8392455
04547,36528540
04548,48130476
04551,42647101
04553,75245160
04554,11081433
04555,49053593
04556,46808040
04558,10704840
04562,74492797
04563,49817647
04564,22479956
04568,12856292
04570,706076
04571,5484024
04572,185178607
04573,21088423
04574,98165493
04575,1702724
04576,13224499
04578,86613037
04579,90753005
04605,737026590
04606,110429651
04607,129515739
04609,109391562
04611,14547139
04612,14215199
04613,4839976
04614,155941451
04616,46423730
04617,65923874
04619,88890813
04622,666251486
04623,352553266
04624,14783419
04625,5470253
04626,121276652
04627,55581002
04628,225000948
04629,5875674
04630,227359004
04631,9470699
04634,273921460
04635,11499124
04637,232142831
04640,71740299
04642,14644635
04643,55169104
04644,12857
04645,32428315
04646,2739200
04648,88926360
04649,73850606
04650,9957384
04652,158724056
04653,7421792
04654,259113301
04655,55433205
04657,261190524
04658,62794550
04660,74735254
04662,7011060
04664,92875752
04666,163162828
04667,77349507
04668,251341275
04669,7075576
04671,73006364
04673,7803058
04674,21965039
04675,13263675
04676,62191275
04677,10345155
04679,35542881
04680,111388649
04681,25409344
04683,11473097
04684,95780091
04685,37185434
04686,293252609
04691,121620479
04693,37233164
04694,339369529
04730,607675660
04732,1134508905
04733,136397631
04734,116854913
04735,125451607
04736,432139714
04739,579075278
04740,100117423
04741,6007703
04742,199521737
04743,352042133
04745,62091068
04746,95524935
04747,421843025
04750,203103179
04756,46150967
04757,334631919
04758,91020290
04760,259702721
04761,47580218
04762,102998140
04763,90794116
04764,170008249
04765,1480042523
04766,94620087
04768,541744189
04769,196262928
04772,76728181
04773,101033988
04774,459128923
04776,221515482
04777,233388151
04779,245974918
04780,786893815
04781,126567226
04783,145631252
04785,264053638
04786,182199009
04787,104225061
04841,33259746
04843,47887430
04847,56877134
04848,37053372
04849,158305817
04851,6014601
04852,2202208
04853,29448055
04854,22990800
04855,5969251
04856,56048967
04858,29478261
04859,17186766
04860,46195478
04861,28329236
04862,168344391
04863,60359505
04864,120361146
04901,204132565
04910,100577276
04911,165094034
04912,155457244
04915,189185414
04917,102847691
04918,9265105
04920,658198223
04921,122909301
04922,100726135
04923,55316680
04924,106594003
04925,147234468
04926,282034
04927,113631600
04928,100264378
04929,51499329
04930,139779444
04932,93987426
04933,240546
04936,1142422827
04937,134834334
04938,317852053
04939,97565100
04940,1255055
04941,166234559
04942,373660783
04943,96196082
04944,4163214
04945,2391415712
04947,326934228
04949,67341147
04950,134378091
04951,104349908
04952,78207323
04953,76248885
04955,115414628
04956,98267117
04957,210941925
04958,142217548
04961,757559254
04962,212866
04963,132103688
04964,240441810
04965,103966090
04966,516901492
04967,125728733
04969,76937408
04970,597202900
04971,116007413
04973,97677742
04974,74042828
04975,142319
04976,257908024
04978,39139860
04979,113560472
04981,97912866
04982,138233482
04983,389255118
04984,61086226
04985,519193381
04986,143446324
04987,90451120
04988,128931409
04989,114395463
04992,151444
05001,111845822
05031,25543194
05032,181173929
05033,75087909
05034,14917155
05035,83124614
05036,86622537
05037,27266289
05038,103057875
05039,113574280
05040,27535599
05041,15222245
05042,61712362
05043,21040885
05045,133787497
05046,154809842
05048,71361708
05050,1119817
05051,124439347
05052,6680314
05053,22614230
05055,106553382
05056,111177236
05058,10445838
05059,13695346
05060,180071309
05061,66942670
05062,109765018
05065,83705718
05067,42866102
05068,133345356
05069,31106130
05070,35223005
05071,50462092
05072,67884381
05075,66737725
05076,74677894
05077,109544288
05079,93901801
05081,24120178
05083,1866028
05084,6145740
05086,63377144
05089,106362633
05091,173412534
05101,89008628
05141,2765794
05142,69450724
05143,247380863
05146,114481566
05148,69478642
05149,113474828
05150,6280288
05151,71864755
05152,105294371
05153,32523663
05154,6894290
05155,107606916
05156,156530898
05158,29700724
05161,90340517
05201,240767660
05250,237175460
05251,90347929
05252,101132464
05253,33997101
05254,5216474
05255,101083643
